"URXCBF.Code.or.Value","URXCBF.Value.Description","URXCBF.Count","URXCBF.Cumulative","URXCBF.Skip.to.Item"
"0.14 to 8.4","Range of Values",1994,1994,NA
".","Missing",131,2125,NA
