"WBXF014.Code.or.Value","WBXF014.Value.Description","WBXF014.Count","WBXF014.Cumulative","WBXF014.Skip.to.Item"
"514.6511 to 514.6511","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
