"DR1IPOTA.Code.or.Value","DR1IPOTA.Value.Description","DR1IPOTA.Count","DR1IPOTA.Cumulative","DR1IPOTA.Skip.to.Item"
"0 to 11072","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
