"OHAROCGP.Code.or.Value","OHAROCGP.Value.Description","OHAROCGP.Count","OHAROCGP.Cumulative","OHAROCGP.Skip.to.Item"
"1","Yes",1868,1868,NA
"2","No",12,1880,NA
".","Missing",7542,9422,NA
