"DRD370B.Code.or.Value","DRD370B.Value.Description","DRD370B.Count","DRD370B.Cumulative","DRD370B.Skip.to.Item"
"1","Yes",1890,1890,""
"2","No",3231,5121,"DRD370C"
".","Missing",4692,9813,""
