"SLQ310.Code.or.Value","SLQ310.Value.Description","SLQ310.Count","SLQ310.Cumulative","SLQ310.Skip.to.Item"
"Usual wake time on weekdays or workdays","Value was recorded",6307,6307,NA
"77777","Refused",0,6307,NA
"99999","Don't know",16,6323,NA
"< blank >","Missing",4,6327,NA
