"FFQ0138A.Code.or.Value","FFQ0138A.Value.Description","FFQ0138A.Count","FFQ0138A.Cumulative","FFQ0138A.Skip.to.Item"
1,"Almost never or never",2485,2485,NA
2,"About 1/4 of the time",356,2841,NA
3,"About 1/2 of the time",442,3283,NA
4,"About 3/4 of the time",172,3455,NA
5,"Almost always or always",457,3912,NA
88,"Blank",2559,6471,NA
99,"Error",1,6472,NA
