"DS1TFDFE.Code.or.Value","DS1TFDFE.Value.Description","DS1TFDFE.Count","DS1TFDFE.Cumulative","DS1TFDFE.Skip.to.Item"
"3 to 6800","Range of Values",1536,1536,NA
".","Missing",7802,9338,NA
