"AUXLR148.Code.or.Value","AUXLR148.Value.Description","AUXLR148.Count","AUXLR148.Cumulative","AUXLR148.Skip.to.Item"
"-26 to 75","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
