"OPXSPHOT.Code.or.Value","OPXSPHOT.Value.Description","OPXSPHOT.Count","OPXSPHOT.Cumulative","OPXSPHOT.Skip.to.Item"
"0","No",2517,2517,NA
"2","Yes",764,3281,NA
"9","No photos of eye",42,3323,NA
".","Missing",540,3863,NA
