"DR1IS040.Code.or.Value","DR1IS040.Value.Description","DR1IS040.Count","DR1IS040.Cumulative","DR1IS040.Skip.to.Item"
"0 to 4.235","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
