"CIQP72.Code.or.Value","CIQP72.Value.Description","CIQP72.Count","CIQP72.Cumulative","CIQP72.Skip.to.Item"
"0 to 28","Range of Values",31,31,NA
"77","Refused",0,31,NA
"99","Don't know",1,32,NA
".","Missing",896,928,NA
