"URDATCLC.Code.or.Value","URDATCLC.Value.Description","URDATCLC.Count","URDATCLC.Cumulative","URDATCLC.Skip.to.Item"
"0","At or above the detection limit",2241,2241,NA
"1","Below lower detection limit",129,2370,NA
".","Missing",235,2605,NA
