"BIXC128K.Code.or.Value","BIXC128K.Value.Description","BIXC128K.Count","BIXC128K.Cumulative","BIXC128K.Skip.to.Item"
"30.85 to 129.18","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
