"DR2IPFAT.Code.or.Value","DR2IPFAT.Value.Description","DR2IPFAT.Count","DR2IPFAT.Cumulative","DR2IPFAT.Skip.to.Item"
"0 to 87.24","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
