"DR1TM161.Code.or.Value","DR1TM161.Value.Description","DR1TM161.Count","DR1TM161.Cumulative","DR1TM161.Skip.to.Item"
"0 to 10.21","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
