"DR2TS080.Code.or.Value","DR2TS080.Value.Description","DR2TS080.Count","DR2TS080.Cumulative","DR2TS080.Skip.to.Item"
"0 to 17.367","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
