"DXDRLLE.Code.or.Value","DXDRLLE.Value.Description","DXDRLLE.Count","DXDRLLE.Cumulative","DXDRLLE.Skip.to.Item"
"1942.6 to 21272.7","Range of Values",4646,4646,NA
".","Missing",1046,5692,NA
