"MIALANG.Code.or.Value","MIALANG.Value.Description","MIALANG.Count","MIALANG.Cumulative","MIALANG.Skip.to.Item"
"1","English",5915,5915,NA
"2","Spanish",518,6433,NA
".","Missing",3689,10122,NA
