"ARQ023GC.Code.or.Value","ARQ023GC.Value.Description","ARQ023GC.Count","ARQ023GC.Cumulative","ARQ023GC.Skip.to.Item"
"1","ENTER AGE IN YEARS",30,30,NA
"3","HAD LESS THAN 1 YEAR AGO BUT NOT NOW",3,33,NA
"7","Refused",0,33,NA
"9","Don't know",0,33,NA
".","Missing",5073,5106,NA
