"OHD22LAS.Code.or.Value","OHD22LAS.Value.Description","OHD22LAS.Count","OHD22LAS.Cumulative","OHD22LAS.Skip.to.Item"
"0 to 8","Range of Values",2680,2680,NA
"99","Calculation cannot be determined",96,2776,NA
".","Missing",4354,7130,NA
