"RFXC162.Code.or.Value","RFXC162.Value.Description","RFXC162.Count","RFXC162.Cumulative","RFXC162.Skip.to.Item"
"-4.299 to 4.904","Range of Values",51050,51050,NA
".","Missing",26,51076,NA
