"DXDRLPF.Code.or.Value","DXDRLPF.Value.Description","DXDRLPF.Count","DXDRLPF.Cumulative","DXDRLPF.Skip.to.Item"
"11.6 to 59.6","Range of Values",4646,4646,NA
".","Missing",1046,5692,NA
