"LBDBECSI.Code.or.Value","LBDBECSI.Value.Description","LBDBECSI.Count","LBDBECSI.Cumulative","LBDBECSI.Skip.to.Item"
"0.015 to 4.514","Range of Values",8351,8351,NA
"0.011","Fill Value of Limit of Detection",7,8358,NA
".","Missing",904,9262,NA
