"URDUA5LC.Code.or.Value","URDUA5LC.Value.Description","URDUA5LC.Count","URDUA5LC.Cumulative","URDUA5LC.Skip.to.Item"
"0","At or above the detection limit",69,69,NA
"1","Below lower detection limit",2208,2277,NA
".","Missing",72,2349,NA
