"URDUNILC.Code.or.Value","URDUNILC.Value.Description","URDUNILC.Count","URDUNILC.Cumulative","URDUNILC.Skip.to.Item"
"0","At or above detection limit",2621,2621,NA
"1","below lower detection limit",170,2791,NA
".","Missing",188,2979,NA
