"DR2TCOPP.Code.or.Value","DR2TCOPP.Value.Description","DR2TCOPP.Count","DR2TCOPP.Cumulative","DR2TCOPP.Skip.to.Item"
"0 to 19.297","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
