"LBXOXY.Code.or.Value","LBXOXY.Value.Description","LBXOXY.Count","LBXOXY.Cumulative","LBXOXY.Skip.to.Item"
"0.0067 to 2.0588","Range of Values",1978,1978,NA
".","Missing",359,2337,NA
