"DRALANG.Code.or.Value","DRALANG.Value.Description","DRALANG.Count","DRALANG.Cumulative","DRALANG.Skip.to.Item"
"1","English",7282,7282,NA
"2","Spanish",1472,8754,NA
"3","English and Spanish",93,8847,NA
"4","Other",19,8866,NA
".","Missing",416,9282,NA
