"BAQ130.Code.or.Value","BAQ130.Value.Description","BAQ130.Count","BAQ130.Cumulative","BAQ130.Skip.to.Item"
"1","Yes",161,161,NA
"2","No",2584,2745,NA
".","Missing",439,3184,NA
