"DSDCOUNT.Code.or.Value","DSDCOUNT.Value.Description","DSDCOUNT.Count","DSDCOUNT.Cumulative","DSDCOUNT.Skip.to.Item"
"0 to 18","Range of Values",9751,9751,NA
"77","Refused",4,9755,NA
"99","Don't know",1,9756,NA
".","Missing",0,9756,NA
