"URX1DC.Code.or.Value","URX1DC.Value.Description","URX1DC.Count","URX1DC.Cumulative","URX1DC.Skip.to.Item"
"8.9 to 90.4","Range of Values",2240,2240,NA
".","Missing",109,2349,NA
