"DR1IS140.Code.or.Value","DR1IS140.Value.Description","DR1IS140.Count","DR1IS140.Cumulative","DR1IS140.Skip.to.Item"
"0 to 18.612","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
