"LBDBB1LC.Code.or.Value","LBDBB1LC.Value.Description","LBDBB1LC.Count","LBDBB1LC.Cumulative","LBDBB1LC.Skip.to.Item"
"0","At or above the detection limit",1485,1485,NA
"1","Below lower detection limit",547,2032,NA
".","Missing",305,2337,NA
