"WTMREP14.Code.or.Value","WTMREP14.Value.Description","WTMREP14.Count","WTMREP14.Cumulative","WTMREP14.Skip.to.Item"
"0 to 267824.09333","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
