"SIALANG.Code.or.Value","SIALANG.Value.Description","SIALANG.Count","SIALANG.Cumulative","SIALANG.Skip.to.Item"
"1","English",9100,9100,NA
"2","Spanish",1075,10175,NA
".","Missing",0,10175,NA
