"MCQ240c.Code.or.Value","MCQ240c.Value.Description","MCQ240c.Count","MCQ240c.Cumulative","MCQ240c.Skip.to.Item"
"55 to 76","Range of Values",5,5,NA
"80","80 years or older",1,6,NA
"77777","Refused",0,6,NA
"99999","Don't know",0,6,NA
".","Missing",9358,9364,NA
