"MGQ070.Code.or.Value","MGQ070.Value.Description","MGQ070.Count","MGQ070.Cumulative","MGQ070.Skip.to.Item"
"1","Yes",941,941,NA
"2","No",6805,7746,NA
"7","Refused",0,7746,NA
"9","Don't know",5,7751,NA
".","Missing",540,8291,NA
