"DXXLRBMD.Code.or.Value","DXXLRBMD.Value.Description","DXXLRBMD.Count","DXXLRBMD.Cumulative","DXXLRBMD.Skip.to.Item"
"0.371 to 1.067","Range of Values",4620,4620,NA
".","Missing",1072,5692,NA
