"MCQ240W.Code.or.Value","MCQ240W.Value.Description","MCQ240W.Count","MCQ240W.Cumulative","MCQ240W.Skip.to.Item"
"20 to 82","Range of Values",39,39,NA
"85","85 years or older",0,39,NA
"77777","Refused",0,39,NA
"99999","Don't know",0,39,NA
".","Missing",9454,9493,NA
