"SSII4NOM.Code.or.Value","SSII4NOM.Value.Description","SSII4NOM.Count","SSII4NOM.Cumulative","SSII4NOM.Skip.to.Item"
"0 to 3.5","Range of Values",921,921,NA
".","Missing",25,946,NA
