"AUXLR124.Code.or.Value","AUXLR124.Value.Description","AUXLR124.Count","AUXLR124.Cumulative","AUXLR124.Skip.to.Item"
"-26 to 44","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
