"WBXF048.Code.or.Value","WBXF048.Value.Description","WBXF048.Count","WBXF048.Cumulative","WBXF048.Skip.to.Item"
"1455.6532 to 1455.6532","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
