"WTSCI01.Code.or.Value","WTSCI01.Value.Description","WTSCI01.Count","WTSCI01.Cumulative","WTSCI01.Skip.to.Item"
"0 to 398435.0826","Range of Values",727,727,NA
".","Missing",51,778,NA
