"OPDUVB.Code.or.Value","OPDUVB.Value.Description","OPDUVB.Count","OPDUVB.Cumulative","OPDUVB.Skip.to.Item"
"0","No",2465,2465,NA
"1","Questionable",3,2468,NA
"2","Yes",0,2468,NA
".","Missing",466,2934,NA
