"DMDEDUC.Code.or.Value","DMDEDUC.Value.Description","DMDEDUC.Count","DMDEDUC.Cumulative","DMDEDUC.Skip.to.Item"
"1","Less Than High School",4478,4478,NA
"2","High School Diploma (including GED)",1462,5940,NA
"3","More Than High School",2422,8362,NA
"7","Refused",5,8367,NA
"9","Don't know",11,8378,NA
".","Missing",1744,10122,NA
