"DSQIFIBE.Code.or.Value","DSQIFIBE.Value.Description","DSQIFIBE.Count","DSQIFIBE.Cumulative","DSQIFIBE.Skip.to.Item"
"0.03485 to 99","Range of Values",184,184,NA
".","Missing",8101,8285,NA
