"DS2TPFAT.Code.or.Value","DS2TPFAT.Value.Description","DS2TPFAT.Count","DS2TPFAT.Cumulative","DS2TPFAT.Skip.to.Item"
"0.25 to 12","Range of Values",145,145,NA
".","Missing",8559,8704,NA
