"DXDSTLI.Code.or.Value","DXDSTLI.Value.Description","DXDSTLI.Count","DXDSTLI.Cumulative","DXDSTLI.Skip.to.Item"
"11530.7 to 103279.6","Range of Values",4983,4983,NA
".","Missing",1050,6033,NA
