"DSQTFA.Code.or.Value","DSQTFA.Value.Description","DSQTFA.Count","DSQTFA.Cumulative","DSQTFA.Skip.to.Item"
"0.8 to 10400","Range of Values",2442,2442,NA
".","Missing",7529,9971,NA
