"DSD090.Code.or.Value","DSD090.Value.Description","DSD090.Count","DSD090.Cumulative","DSD090.Skip.to.Item"
"0 to 25550","Range of Values",8948,8948,NA
"7777777","Refused",1,8949,NA
"9999999","Don't know",88,9037,NA
".","Missing",36,9073,NA
