"DSQIKCAL.Code.or.Value","DSQIKCAL.Value.Description","DSQIKCAL.Count","DSQIKCAL.Cumulative","DSQIKCAL.Skip.to.Item"
"1 to 567","Range of Values",2719,2719,NA
".","Missing",6398,9117,NA
