"LBD123LC.Code.or.Value","LBD123LC.Value.Description","LBD123LC.Count","LBD123LC.Cumulative","LBD123LC.Skip.to.Item"
"0","At or above the detection limit",18,18,NA
"1","Below lower detection limit",229,247,NA
".","Missing",0,247,NA
