"DRD370I.Code.or.Value","DRD370I.Value.Description","DRD370I.Count","DRD370I.Cumulative","DRD370I.Skip.to.Item"
"1","Yes",208,208,""
"2","No",5216,5424,"DRD370J"
".","Missing",4338,9762,""
