"DRD350C.Code.or.Value","DRD350C.Value.Description","DRD350C.Count","DRD350C.Cumulative","DRD350C.Skip.to.Item"
"1","Yes",77,77,""
"2","No",3682,3759,"DRD350D"
".","Missing",6003,9762,""
