"LBDBHCLC.Code.or.Value","LBDBHCLC.Value.Description","LBDBHCLC.Count","LBDBHCLC.Cumulative","LBDBHCLC.Skip.to.Item"
"0","detectable result",1226,1226,NA
"1","below detectable limit",667,1893,NA
".","Missing",381,2274,NA
