"DS2TPFAT.Code.or.Value","DS2TPFAT.Value.Description","DS2TPFAT.Count","DS2TPFAT.Cumulative","DS2TPFAT.Skip.to.Item"
"0.25 to 18","Range of Values",263,263,NA
".","Missing",9550,9813,NA
