"RFXT091.Code.or.Value","RFXT091.Value.Description","RFXT091.Count","RFXT091.Cumulative","RFXT091.Skip.to.Item"
"787 to 796","Range of Values",51062,51062,NA
".","Missing",14,51076,NA
