"SLQ060.Code.or.Value","SLQ060.Value.Description","SLQ060.Count","SLQ060.Cumulative","SLQ060.Skip.to.Item"
"1","Yes",484,484,""
"2","No",6047,6531,"SLQ080"
"7","Refused",1,6532,"SLQ080"
"9","Don't know",14,6546,"SLQ080"
".","Missing",0,6546,""
