"CHfdsec.Code.or.Value","CHfdsec.Value.Description","CHfdsec.Count","CHfdsec.Cumulative","CHfdsec.Skip.to.Item"
"1","CH food quality & quantity unaffected: 0",5293,5293,NA
"2","CH marginally food secure: 1",441,5734,NA
"3","CH reduced food quality or quantity: 2-4",866,6600,NA
"4","CH food insecure with hunger: 5-8",105,6705,NA
".","Missing",3260,9965,NA
