"DRD370S.Code.or.Value","DRD370S.Value.Description","DRD370S.Count","DRD370S.Cumulative","DRD370S.Skip.to.Item"
"1","Yes",67,67,""
"2","No",5222,5289,"DRD370T"
".","Missing",4049,9338,""
