"LBXHPE.Code.or.Value","LBXHPE.Value.Description","LBXHPE.Count","LBXHPE.Cumulative","LBXHPE.Skip.to.Item"
"0.02 to 2.02","Range of Values",2259,2259,NA
".","Missing",288,2547,NA
