"LBDALDLC.Code.or.Value","LBDALDLC.Value.Description","LBDALDLC.Count","LBDALDLC.Cumulative","LBDALDLC.Skip.to.Item"
"0","detectable result",4,4,NA
"1","below detectable limit",2271,2275,NA
".","Missing",272,2547,NA
