"BPXCHR.Code.or.Value","BPXCHR.Value.Description","BPXCHR.Count","BPXCHR.Cumulative","BPXCHR.Skip.to.Item"
"0 to 208","Range of Values",2016,2016,NA
".","Missing",7746,9762,NA
